iso3,year,Agricultural.raw.materials.exports,prec_1,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,prec_10,prec_11,prec_12,tmax_1,tmax_2,tmax_3,tmax_4,tmax_5,tmax_6,tmax_7,tmax_8,tmax_9,tmax_10,tmax_11,tmax_12,tmin_1,tmin_2,tmin_3,tmin_4,tmin_5,tmin_6,tmin_7,tmin_8,tmin_9,tmin_10,tmin_11,tmin_12
AFG,1962,31178394.4022014,17.0857871219483,39.6395454287265,42.8622949217481,59.2492378501829,25.0189772893479,4.16813746912781,3.75390519744112,2.50738082170453,2.27649666933289,9.17726441415609,16.5816352460971,31.4695454377557,18,25,29.3125,34.4375,39,42,43,41.25,36,32,23,19.9375,-27.3125,-25.8125,-22.25,-14.625,-9.25,-5.75,-2.125,-1.5,-7,-12.375,-21,-27.875
AFG,1963,42770423.5069777,10.2133425562186,44.3783203721311,55.2989467942265,74.1022727539164,59.3034063467694,3.34544623460158,4.086089240791,1.53126108709995,1.45750277159682,6.59379158211653,27.7766324898092,31.8250083154162,21.0625,24.875,28.6875,34,37,44,44,42,38,34.8125,24.875,19,-27.0625,-25.4375,-22.875,-14.5625,-9.625,-4.25,-2.4375,-2.25,-6.875,-10.9375,-19.625,-26.5
AFG,1964,34839797.419255,47.1346147368065,67.7798641957623,52.952139682516,67.5931847035753,17.4782317104466,2.13200110880877,10.5614246003462,2.54199832907471,1.66259146377676,4.01148004253001,12.2293708475889,20.6603270641716,13,21,29.8125,33.75,40,42.5625,44,43,37,30.875,24.25,16.5625,-29.25,-27.6875,-22.5625,-14.9375,-10,-6.375,-2.875,-2,-6.25,-13.25,-21,-27.4375
AFG,1965,33863062.7480801,60.1276052771016,53.7410892255026,35.1620121654016,82.8533703000477,38.377705101084,1.86654102002207,10.1629489970016,4.79856708409583,1.48481707237909,7.28300720293347,26.1266020119851,25.4254268366587,19,22,28,31,39,42.0625,44,40.125,37.6875,35,26,20,-25.5625,-28.1875,-24.0625,-16.1875,-10.125,-6.4375,-2.9375,-2.875,-7.5,-11.5625,-18.4375,-27.4375
AFG,1966,34649037.8176798,10.7084506640149,72.9243015103224,66.413896894032,61.9777882348672,13.4946258373112,1.3836391354434,3.99033259860593,2.7702660766234,3.00019400574416,20.0282234174978,3.75276329718249,15.3121341760566,22,23,27.8125,33,39.4375,44,43.75,41,38,33,23.4375,20,-25.25,-24.4375,-23,-15.875,-9.75,-4.75,-3.25,-1.875,-6.9375,-12,-21.375,-26.375
AFG,1967,30594779.3668517,19.3761696026225,71.2908509696402,55.8075388185201,75.9178713647331,25.7510891897848,5.42622504852167,4.33723947801307,1.66708148497667,2.2436225039236,25.0546202878994,16.9044373623019,52.7633315189979,18,22,27.6875,32.6875,38,42,45,42,39,33.9375,26.9375,18.375,-28.75,-26,-23.75,-15.375,-10,-5.25,-2.1875,-2.0625,-5.875,-12.75,-19.8125,-25.75
AFG,1968,27426302.8937699,34.5797006615514,50.4802050983827,51.7225360385066,63.0414357060604,31.5384063299374,2.44239745063587,3.75758038818869,2.92578436921117,0.739021617931597,9.93150775725984,15.0494456779666,67.9910615935823,18,18.5,28.4375,33,36.25,42.9375,43,42,38,33,26,19.875,-27.375,-29.3125,-22,-15,-10.125,-4.5,-2.375,-2.1875,-6.4375,-12.4375,-19.5,-25.4375
AFG,1969,31201655.4728942,51.9888719660216,39.1107123127533,56.821629691494,72.0574555912991,40.3135753453439,6.01657981774099,7.8855099940974,1.60451219018441,2.22003326154998,18.4921563189997,30.0337333746073,13.8643542103387,16.8125,19.1875,31.5,34,38.9375,43,44,41,37,34,23.375,23,-27.8125,-29.9375,-21.6875,-15.625,-10,-5.1875,-2.3125,-1.625,-6.8125,-11.3125,-18.5625,-24.375
AFG,1970,30808643.3259152,49.3549141304456,26.4502078440131,53.4281069876085,33.0511723902167,10.9553492240657,1.99321508048817,7.60981984118995,2.35942904561295,3.77552660675905,4.7688220583811,5.18231429823751,20.2215326977939,17.75,23.4375,26.3125,36,40.875,43.9375,43.75,44,38,34,27,20.8125,-25.4375,-25.5,-23.375,-13.3125,-8.1875,-5.1875,-2.5,-0.6875,-5.8125,-11.3125,-19.5625,-25.5
AFG,1971,45656350.218737,12.8669124340535,42.4859534272069,37.1696230734003,39.3795676434119,8.85655210956502,2.02848392482847,3.2744927943265,1.5924307099781,4.6447782670695,3.76998613537547,12.3001136321979,22.6286917932811,17,22,29,35,41.0625,44,43.8125,42,36.6875,33,26,21,-27.75,-26.625,-22.0625,-13.5625,-8,-4.375,-2.3125,-2.1875,-6.6875,-11.8125,-18.5625,-23.4375
AFG,1972,41404288.941445,64.2380570138902,47.7311723939595,73.2849528623526,52.8203824908136,40.467225628893,5.81867793405598,4.13745842332851,1.4470011035348,2.65130820309376,6.27709534811868,18.3780903428198,56.2669179366592,16,16,26,33,38.5625,43,42,39,37.0625,33,26.3125,17.4375,-24.5625,-30.5625,-23.0625,-15.4375,-9.5,-5.375,-3.5625,-2.6875,-6.5625,-12.625,-19,-25.625
AFG,1973,38457067.7745823,30.7724002258741,50.533461753545,71.9281735830984,50.5354434968098,19.4083342489409,1.03040742559809,6.16268569406312,1.58025221402226,3.58889412709291,3.1959672934861,4.54248891698812,23.9166019815563,15,23.4375,29,36,40.9375,45,44.375,42,38,33.9375,26,19.4375,-26.875,-26.5625,-23.4375,-13.9375,-8.375,-3.375,-1.5625,-1.5625,-5.75,-12.5,-18.9375,-26.375
