date,pageviews
2019-01-21,9947
2019-01-28,15124
2019-02-04,11821
2019-02-11,10920
2019-02-18,11191
2019-02-25,10339
2019-03-04,9560
2019-03-11,11410
2019-03-18,10221
2019-03-25,8923
2019-04-01,9999
2019-04-08,8775
2019-04-15,8319
2019-04-22,7485
2019-04-29,8448
2019-05-06,8729
2019-05-13,8411
2019-05-20,8286
2019-05-27,6888
2019-06-03,7237
2019-06-10,8206
2019-06-17,8511
2019-06-24,7314
2019-07-01,6574
2019-07-08,7307
2019-07-15,7125
2019-07-22,8591
2019-07-29,7279
2019-08-05,7879
2019-08-12,6667
2019-08-19,7907
2019-08-26,7222
2019-09-02,6847
2019-09-09,8057
2019-09-16,9234
2019-09-23,7141
2019-09-30,7422
2019-10-07,7066
2019-10-14,7361
2019-10-21,7321
2019-10-28,6872
2019-11-04,6843
2019-11-11,8819
2019-11-18,8012
2019-11-25,8265
2019-12-02,6432
2019-12-09,6702
2019-12-16,5949
2019-12-23,1887
2019-12-30,2377
2020-01-06,5701
2020-01-13,7448
2020-01-20,6779
2020-01-27,7102
2020-02-03,8063
2020-02-10,7832
2020-02-17,7260
2020-02-24,7621
2020-03-02,7862
2020-03-09,7026
2020-03-16,5886
2020-03-23,5725
2020-03-30,5390
2020-04-06,4804
2020-04-13,5186
2020-04-20,5783
2020-04-27,5567
2020-05-04,5154
2020-05-11,6065
2020-05-18,4290
2020-05-25,4120
2020-06-01,4630
2020-06-08,5115
2020-06-15,4861
2020-06-22,5590
2020-06-29,5376
2020-07-06,5790
2020-07-13,4996
2020-07-20,4668
2020-07-27,4181
2020-08-03,4276
2020-08-10,4132
2020-08-17,3889
2020-08-24,4377
2020-08-31,3906
2020-09-07,4718
2020-09-14,4830
2020-09-21,5175
2020-09-28,5306
2020-10-05,4981
2020-10-12,4657
2020-10-19,4328
2020-10-26,4815
2020-11-02,4299
2020-11-09,4697
2020-11-16,5828
2020-11-23,5054
2020-11-30,5651
2020-12-07,4603
2020-12-14,5254
2020-12-21,2235
2020-12-28,1512
2021-01-04,3535
2021-01-11,4743
2021-01-18,4850
2021-01-25,4867
2021-02-01,9238
2021-02-08,5537
2021-02-15,5326
2021-02-22,5369
2021-03-01,5608
2021-03-08,5482
2021-03-15,5543
2021-03-22,6041
2021-03-29,4438
2021-04-05,4776
2021-04-12,4654
2021-04-19,5560
2021-04-26,5093
2021-05-03,3986
2021-05-10,4347
2021-05-17,4944
2021-05-24,3923
2021-05-31,4256
2021-06-07,4860
2021-06-14,4185
2021-06-21,4580
2021-06-28,4025
2021-07-05,3557
2021-07-12,3857
2021-07-19,3399
2021-07-26,3706
2021-08-02,3584
2021-08-09,3807
2021-08-16,4381
2021-08-23,3719
2021-08-30,3962
2021-09-06,3273
2021-09-13,4414
2021-09-20,4300
2021-09-27,4609
2021-10-04,4307
2021-10-11,4278
2021-10-18,4371
2021-10-25,4464
2021-11-01,4398
2021-11-08,4493
2021-11-15,4287
2021-11-22,4783
2021-11-29,5100
2021-12-06,4646
2021-12-13,3727
2021-12-20,2632
2021-12-27,1879
2022-01-03,3196
2022-01-10,4058
2022-01-17,4182
2022-01-24,4626
2022-01-31,4949
2022-02-07,4304
2022-02-14,4536
2022-02-21,4697
2022-02-28,4623
2022-03-07,5016
2022-03-14,4815
2022-03-21,4954
2022-03-28,4837
2022-04-04,4819
2022-04-11,4338
2022-04-18,4772
2022-04-25,4429
2022-05-02,4225
2022-05-09,4548
2022-05-16,4821
2022-05-23,4396
2022-05-30,3722
2022-06-06,3372
2022-06-13,4061
2022-06-20,4370
2022-06-27,4036
2022-07-04,3396
2022-07-11,4498
2022-07-18,3252
2022-07-25,3122
2022-08-01,3767
2022-08-08,4404
2022-08-15,4550
2022-08-22,5271
2022-08-29,4285
2022-09-05,4142
2022-09-12,4936
2022-09-19,3496
2022-09-26,4499
2022-10-03,4090
2022-10-10,4283
2022-10-17,4592
2022-10-24,4515
2022-10-31,4176
2022-11-07,3903
2022-11-14,4789
2022-11-21,3774
2022-11-28,4472
2022-12-05,4372
2022-12-12,4286
2022-12-19,3384
2022-12-26,1527
2023-01-02,3100
2023-01-09,4416
2023-01-16,4695
2023-01-23,4786
2023-01-30,5384
2023-02-06,5072
2023-02-13,4603
2023-02-20,4486
2023-02-27,5102
2023-03-06,6858
2023-03-13,6704
2023-03-20,5257
2023-03-27,4816
2023-04-03,3529
2023-04-10,3288
2023-04-17,3998
2023-04-24,4646
2023-05-01,3963
2023-05-08,4290
2023-05-15,3784
2023-05-22,4053
2023-05-29,3934
2023-06-05,4797
2023-06-12,4238
2023-06-19,3940
2023-06-26,3808
2023-07-03,3986
2023-07-10,3291
2023-07-17,3902
2023-07-24,3940
2023-07-31,3604
2023-08-07,3457
2023-08-14,3122
2023-08-21,3409
2023-08-28,3791
2023-09-04,3833
2023-09-11,4329
2023-09-18,4436
2023-09-25,3517
2023-10-02,4286
2023-10-09,3862
2023-10-16,4000
2023-10-23,3854
2023-10-30,3872
2023-11-06,4114
2023-11-13,4307
2023-11-20,3838
2023-11-27,4296
2023-12-04,3850
2023-12-11,3794
2023-12-18,2914
2023-12-25,1389
2024-01-01,2327
2024-01-08,3174
2024-01-15,3939
2024-01-22,3794
2024-01-29,4027
2024-02-05,3663
2024-02-12,4443
2024-02-19,2337
